CUSTOMER_NUMBER,BENFORD_DEV,ACTIVITY_SEQ_RARITY,TRANS_AMOUNT_Z_SCORE,BALANCE_COVERAGE_RATIO,SPIKE_1H_VS_24H,SPIKE_24H_VS_7D,SPIKE_7D_VS_30D,TRANS_AMOUNT_VS_30D_AVG_RATIO
34364,-0.6039243,-0.13676637,6.7840943,0.55869406,0.010949031,-0.11125275,-0.22666603,4.121133
34548,-0.72658384,-0.13002211,8.057739,-0.3148223,0.013894332,-0.11125275,-0.23067485,2.9146605
35231,-0.76731616,-0.122420795,8.302539,-0.8943649,-0.47103068,0.8686803,-0.14218718,3.0074167
35231,-0.7083491,-0.12991932,8.454507,-0.8553357,0.92249525,-0.10540886,-0.22337027,3.103093
35373,-0.66339,-0.13319148,3.9697049,1.2845505,-0.5070001,-0.09027551,0.21158992,5.73056
35404,-0.7466053,-0.13646773,6.528821,-1.4025558,-0.44356537,-0.10755261,-0.028328292,4.171237
35661,1.7437115,-0.14864992,3.8543637,-1.057882,0.2051841,-0.09666679,-0.01098137,6.367554
35661,2.0167239,-0.05221916,9.115575,-1.231972,0.7895396,-0.09666679,-0.19200449,2.945954
36346,0.58762026,-0.050451107,8.472024,0.31272352,-0.11699935,-0.09987366,0.3608812,2.5489414
36406,-0.6718597,-0.1276281,4.1247406,-0.69912916,0.6872531,-0.10736111,-0.2009788,5.381752
36406,-0.76935023,-0.12772542,6.7493773,-0.34421214,-0.21657485,-0.11125275,0.0060187923,4.174141
36406,-0.7510211,-0.12034138,3.767919,-0.77900094,-0.43730232,-0.10736111,-0.12824716,5.4167943
36588,0.56685233,-0.17884396,7.1372404,0.911137,0.14630835,-0.10037621,-0.29513356,4.3347173
36655,-0.7794283,-0.12022364,3.760951,-0.76468796,-0.4889568,-0.10736111,0.0028231735,5.457291
36684,0.8382548,-0.16935095,3.4146276,-0.17318255,-0.39678276,-0.10285785,-0.05268997,6.4346027
36684,0.72992647,-0.17027108,4.1202183,-0.05114153,-0.08422362,-0.10285785,-0.25038204,5.8196874
36820,-0.7122949,-0.1276281,6.7650294,-0.7509335,0.24840358,-0.10736111,-0.22337027,4.0383277
37072,0.5180973,-0.15012716,4.09498,-1.207495,-0.43057573,-0.09617352,0.2394235,5.6612597
37072,0.47784233,-0.15094048,3.3986042,-1.172862,-0.39960635,-0.09915771,-0.032161474,6.29496
37588,0.90382445,-0.17014201,6.999872,0.38722467,-0.42407787,-0.09987366,0.26545832,4.573424
37920,0.271264,0.016055027,4.294201,-1.2805037,0.64527166,-0.10332167,0.21184503,5.7677326
37920,0.22968437,0.013135379,2.803879,-1.2979331,-0.39951152,-0.056716625,-0.029899962,6.3883147
37975,-0.57603866,-0.1375769,8.62423,2.445555,-0.23150225,-0.083396375,-0.046246637,3.4645884
37975,-0.5575483,-0.13855025,4.1412506,2.0454946,0.08166984,-0.081455685,0.26736432,5.7513433
37975,-0.5547957,-0.13590644,7.0763907,2.2131956,-0.38546503,-0.08443987,-0.0101837125,4.260416
38035,0.612458,0.028369999,8.704133,1.6578805,-0.4300838,-0.0848648,-0.061450243,2.9088933
38312,-0.59751403,-0.13583529,7.247745,2.2713482,0.08908918,-0.081455685,0.3374587,4.1328406
